DBInstanceIdentifier|DBName|AvailabilityZone|Engine|DBInstanceClass|Endpoint|VpcId|subnet|Launch_Time|acc_id|Owner|CostCenter|ClarityID|APPType|Environment|BillingContact|InstanceState|BackupID|SchedulerID|TerminationDate|ExceptionList|ChargeID|BackupDR
ff1-etl-framework-container-qa-01|ff1etlframeworkcontainerqa01|us-east-1c|postgres|db.r6g.2xlarge|ff1-etl-framework-container-qa-01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2021-04-14 19:35:30|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS PostgreSQL|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
foresightprddb1|n/a|us-east-1c|sqlserver-ee|db.m5.4xlarge|foresightprddb1.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-fe892dd4,subnet-ee72e598,subnet-04647d10227fe8649|2022-10-19 11:11:29|128010802554|Commercial IT|i430002422|050775|Amazon RDS SQL Server|PRD|FRANCRA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
gbxdataikuprd01|gbxdataikuprd01|us-east-1b|postgres|db.m6g.12xlarge|gbxdataikuprd01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2021-03-19 16:42:06|128010802554|Commercial IT|1-42165.1.01|050495|Amazon RDS PostgreSQL|PRD|RAJAMRA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
gbxqlikprdv01|gbxqlikprdv01|us-east-1c|postgres|db.r6g.2xlarge|gbxqlikprdv01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2020-06-03 20:37:22|128010802554|Commercial IT|430000474|047052|Amazon RDS PostgreSQL|PRD|KUMARR1U|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
gbxqlikprdv02|gbxqlikprdv02|us-east-1c|postgres|db.r6g.large|gbxqlikprdv02.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-e172e597,subnet-e5892dcf,subnet-03565babbebac306d|2020-07-10 08:52:26|128010802554|Technology Architecture and Digital|400000489|047050|Amazon RDS PostgreSQL|PRD|PATELHIB|null|NA|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
gitlab-prod|gitlabprod|us-east-1b|postgres|db.t4g.medium|gitlab-prod.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2021-05-07 16:10:27|128010802554|Technology Architecture and Digital|410000806|044711|Amazon RDS PostgreSQL|PRD|PATELHIB|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|EVICO-RDS-ID01|NOT_REQUESTED
glassboxprod01|glassboxprod01|us-east-1c|postgres|db.m6g.8xlarge|glassboxprod01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2020-07-14 05:29:42|128010802554|Commercial IT|430000474|046074|Amazon RDS PostgreSQL|PRD|KUMARR1U|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
glassboxqa001|glassboxqa01|us-east-1b|postgres|db.m6g.4xlarge|glassboxqa001.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2021-04-16 13:14:47|128010802554|Commercial IT|430000474|046074|Amazon RDS PostgreSQL|PRD|KUMARR1U|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
glassboxqa02|glassboxqa02|us-east-1b|postgres|db.m6g.xlarge|glassboxqa02.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2021-07-29 16:40:03|128010802554|Commercial IT     |430000474|046074|Amazon RDS PostgreSQL|PPRD|KUMARR1U|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
glassboxuat01|glassboxuat01|us-east-1b|postgres|db.m6g.8xlarge|glassboxuat01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-70bfeb5b,subnet-9f3e31e8,subnet-068e1523419c96a6a|2020-11-06 18:52:01|128010802554|Commercial IT|430000474|046074|Amazon RDS PostgreSQL|PPRD|KUMARR1U|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
limprd01|n/a|us-east-1b|sqlserver-se|db.m4.2xlarge|limprd01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-fe892dd4,subnet-ee72e598,subnet-04647d10227fe8649|2018-11-13 15:52:04|128010802554|Development IT|7CGI|032510|Amazon RDS SQL Server|PRD|MUSCIJA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
limtst01|n/a|us-east-1c|sqlserver-se|db.m4.2xlarge|limtst01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2018-09-21 14:33:53|128010802554|Development IT|7CGI|032510|Amazon RDS SQL Server|PPRD|MUSCIJA1|null|null|SCH-RDS-WRKDAYS_GMTmin5|null|NOT_APPLICABLE|null|NOT_REQUESTED
omnichannelmktg-instance-1|n/a|us-east-1a|aurora-postgresql|db.r5.16xlarge|omnichannelmktg-instance-1.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2024-03-22 01:37:10|128010802554|TAD|W1-43987.1.01|054208|Amazon Elastic Compute Cloud/CentrifyY|PRD|TAYLOJE2|null|null|null|null|null|null|null
omnichannelmktg-instance-1-us-east-1b|n/a|us-east-1b|aurora-postgresql|db.r5.16xlarge|omnichannelmktg-instance-1-us-east-1b.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2024-03-22 01:43:38|128010802554|TAD|W1-43987.1.01|054208|Amazon Elastic Compute Cloud/CentrifyY|PRD|TAYLOJE2|null|null|null|null|null|null|null
omnichlmktg-instance-1|n/a|us-east-1a|aurora-postgresql|db.r6g.8xlarge|omnichlmktg-instance-1.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2023-10-23 15:03:02|128010802554|TAD|W1-43987.1.01|054208|Amazon Elastic Compute Cloud/Centrify|PRD|MAGEENI1|null|EBS-NVS-D-35_GMTmin5|NOT_REQUESTED|null|null|null|null
prod-restore-appgwqa02|appgwprd01|us-east-1b|postgres|db.t3.micro|prod-restore-appgwqa02.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2024-05-24 06:34:34|128010802554|Development IT|832339|050239|Amazon RDS PostgreSQL|PRD|GIFFOLI1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
vanguardiandatahubprd01-instance-1|VANGUARDIANDATAHUBPRD01|us-east-1c|aurora-postgresql|db.r5.24xlarge|vanguardiandatahubprd01-instance-1.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-02-17 14:27:34|128010802554|Technology Architecture and Digital|1-42165.1.01|045683|Amazon RDS Aurora PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
vanguardiandatahubprd01-instance-1-us-east-1b|VANGUARDIANDATAHUBPRD01|us-east-1b|aurora-postgresql|db.r6g.8xlarge|vanguardiandatahubprd01-instance-1-us-east-1b.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-02-17 14:33:30|128010802554|Technology Architecture and Digital|1-42165.1.01|045683|Amazon RDS Aurora PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
vanguardiandatahubprd01-instance-2-us-east-1b|VANGUARDIANDATAHUBPRD01|us-east-1b|aurora-postgresql|db.r6g.8xlarge|vanguardiandatahubprd01-instance-2-us-east-1b.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-11-16 08:24:11|128010802554|Technology Architecture and Digital|1-42165.1.01|045683|Amazon RDS Aurora PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
vanguardiandatahubqa01-instance-1|VANGUARDIANDATAHUBQA01|us-east-1c|aurora-postgresql|db.r6g.2xlarge|vanguardiandatahubqa01-instance-1.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-02-15 14:12:15|128010802554|Technology Architecture and Digital|1-42165.1.01|045683|Amazon RDS Aurora PostgreSQL|TST|SUNDASH6|null|null|SCH-RDS-WRKDAYS_GMTmin5|null|NOT_APPLICABLE|null|NOT_REQUESTED
vanguardiandatahubqa01-instance-1-us-east-1b|VANGUARDIANDATAHUBQA01|us-east-1b|aurora-postgresql|db.r5.12xlarge|vanguardiandatahubqa01-instance-1-us-east-1b.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-02-15 14:22:55|128010802554|Technology Architecture and Digital|1-42165.1.01|045683|Amazon RDS Aurora PostgreSQL|TST|SUNDASH6|null|null|SCH-RDS-WRKDAYS_GMTmin5|null|NOT_APPLICABLE|null|NOT_REQUESTED
vanguardiandatahubqa01-instance-2|VANGUARDIANDATAHUBQA01|us-east-1c|aurora-postgresql|db.r6g.2xlarge|vanguardiandatahubqa01-instance-2.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-10-04 17:58:21|128010802554|Technology Architecture and Digital|1-42165.1.01|045683|Amazon RDS Aurora PostgreSQL|TST|SUNDASH6|null|null|SCH-RDS-WRKDAYS_GMTmin5|null|NOT_APPLICABLE|null|NOT_REQUESTED
xraydb2usprod01|xraydb2usprod01|us-east-1b|postgres|db.r6g.xlarge|xraydb2usprod01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-ee72e598,subnet-fe892dd4,subnet-04647d10227fe8649|2022-06-23 12:30:52|128010802554|Technology Architecture and Digital|I430002123|046374|Amazon RDS PostgreSQL|PRD|PEREZIS1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
xraydb2usqa01|n/a|us-east-1a|postgres|db.r6g.xlarge|xraydb2usqa01.cr7gx6kubnmh.us-east-1.rds.amazonaws.com|vpc-0e66a16a|subnet-77bfeb5c,subnet-9b3e31ec,subnet-090a4072da87ee044|2022-10-18 17:05:25|128010802554|TAD|I430002123|046374|Amazon RDS PostgreSQL|PPRD|PEREZIS1|null|null|null|null|null|null|null
aaaf1prd01|aaaf1prd01|eu-west-1b|postgres|db.t4g.medium|aaaf1prd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2020-12-15 12:51:14|128010802554|Technology Architecture and Digital|1-41460.2|050483|Amazon RDS PostgreSQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
aaaf1qa01|aaaf1qa01|eu-west-1a|postgres|db.t4g.medium|aaaf1qa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2020-12-08 16:28:00|128010802554|Technology Architecture and Digital|1-41460.2|050483|Amazon RDS PostgreSQL|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
accuridstimspprd|accuridstimspprd|eu-west-1a|postgres|db.m6g.2xlarge|accuridstimspprd.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-02-15 13:31:51|128010802554|Development IT|1-42272.1.01|045977|Amazon RDS PostgreSQL|TST|BOEHMSA4|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
accuridstimsprd|accuridstimsprd|eu-west-1b|postgres|db.m6g.2xlarge|accuridstimsprd.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2022-11-20 06:02:51|128010802554|DIT|1-42272.1.01|045977|Amazon RDS PostgreSQL|PRD|SMITHKEP|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
almqcprd|ALMQCPRD|eu-west-1a|oracle-se2|db.m5.2xlarge|almqcprd.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-04-26 02:53:07|128010802554|Development IT|868251|044382|Amazon RDS Oracle|PRD|CENTEJO2|null|NA|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
almqcqa|ALMQCQA|eu-west-1a|oracle-se2|db.m5.2xlarge|almqcqa.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-11-29 11:13:04|128010802554|Technology and Infrastructure Service|868251|044382|Amazon RDS Oracle|PPRD|VARMAVE1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
alvissdbprod|alviss_db_PROD|eu-west-1b|postgres|db.m6g.2xlarge|alvissdbprod.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2021-06-11 09:21:57|128010802554|Technology and Infrastructure Service|W1-41898.1.01|046395|RDS Postgre SQL|PRD|CHOUDJI1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
alviss-db-qa|alviss_db_qa|eu-west-1a|postgres|db.m6g.xlarge|alviss-db-qa.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-05-19 19:05:04|128010802554|Technology and Infrastructure Service|W1-41898.1.01|046395|Amazon RDS PostgreSQL|TST|CHOUDJI1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
andromedamasterqa|andromeda_master_qa|eu-west-1b|postgres|db.t4g.xlarge|andromedamasterqa.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-12-22 11:23:30|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS PostgreSQL|PPRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
aquasecscannerrds|aquasecscannerrds|eu-west-1a|postgres|db.m6g.2xlarge|aquasecscannerrds.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-04-07 09:01:21|128010802554|Technology and Infrastructure Service|868914|050799|Amazon RDS PostgreSQL|PRD|DIVOUDE1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
arvf1prod01|arvf1prod01|eu-west-1a|mysql|db.m6g.large|arvf1prod01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-08-30 09:55:08|128010802554|Technology Architecture and Digital|1-42165.1.01|051999|Amazon RDS MYSQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
arvf1qa01|n/a|eu-west-1a|mysql|db.m6g.large|arvf1qa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-08-12 11:54:02|128010802554|Technology and Infrastructure Service|1-42165.1.01|051999|Amazon MySQL RDS|TST|RAJAMRA1|null|EBS-NVS-D-35_GMT|SCH-NVS-WRKDAYS_GMT|null|NOT_APPLICABLE|null|NOT_REQUESTED
avexisf1prd01|avexisf1prd01|eu-west-1b|postgres|db.t3.large|avexisf1prd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2020-12-16 13:47:05|128010802554|Technology Architecture and Digital|1-41460.2|050273|Amazon RDS PostgreSQL|PRD|DENGFA3|null|EBS-NVS-D-35_GMT|SCH-NVS-WRKDAYS_GMT|null|NOT_APPLICABLE|null|NOT_REQUESTED
avexisf1qa01|avexisf1qa01|eu-west-1b|postgres|db.t3.large|avexisf1qa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2020-12-10 19:00:14|128010802554|Technology Architecture and Digital|1-41460.2|045879|Amazon RDS PostgreSQL|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
bscnkcp|BSCNKCP|eu-west-1b|oracle-se2-cdb|db.t3.large|bscnkcp.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2024-06-06 14:10:19|128010802554|Technology and Infrastructure Service|1-43999.1.01|052059|Amazon RDS Oracle|PRD|MALONHE2|null|null|SCH-NVS-WRKDAYS_GMT|null|null|IES-ALL|null
cafdbf1prod01|cafdbf1prod01|eu-west-1b|mysql|db.r6g.8xlarge|cafdbf1prod01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2023-01-03 09:06:56|128010802554|Technology Architecture and Digital|1-41460.2|050759|Amazon RDS MYSQL|PRD|SUNDASH6|null|EBS-NVS-D-35_GMT|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
cafdbf1qa01|cafdbf1qa01|eu-west-1b|mysql|db.r6g.2xlarge|cafdbf1qa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-08-29 12:05:15|128010802554|Technology Architecture and Digital|1-41460.2|050759|Amazon RDS MYSQL|PPRD|SUNDASH6|null|EBS-NVS-D-35_GMT|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
cdesprd1|CDESPRD1|eu-west-1b|oracle-se2|db.m5.4xlarge|cdesprd1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2022-04-09 01:49:07|128010802554|Development IT|801001|045187|Amazon RDS Oracle|PRD|VARMAVE1|null|NA|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
cirfprod01|cirfprod01|eu-west-1a|mariadb|db.t3.large|cirfprod01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-7d2e8a0b,subnet-6c73c308,subnet-018257c47b9cd4b6c|2019-08-22 18:43:13|128010802554|TechOps / QA IT|IO:430000246|045385|Amazon RDS MariaDB|PRD|KULESSZ1|null|null|NOT_REQUESTED|null|null|null|RDS-NVS02-H12-01_GMT
cirfprod01-bkp-q3-2024|cirfprod01|eu-west-1a|mariadb|db.t3.large|cirfprod01-bkp-q3-2024.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-7d2e8a0b,subnet-6c73c308,subnet-018257c47b9cd4b6c|2024-07-05 09:21:38|128010802554|TechOps / QA IT|IO:430000246|045385|Amazon RDS MariaDB|PRD|KULESSZ1|null|null|NOT_REQUESTED|null|null|null|RDS-NVS02-H12-01_GMT
cirfqa01|cirfprod01|eu-west-1b|mariadb|db.t3.large|cirfqa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-7d2e8a0b,subnet-6c73c308,subnet-018257c47b9cd4b6c|2023-12-05 11:40:08|128010802554|TechOps / QA IT|IO:430000246|045385|Amazon RDS MariaDB|PRD|KULESSZ1|null|null|NOT_REQUESTED|null|null|null|RDS-NVS02-H12-01_GMT
csiappprd01|CSIAPPPRD01|eu-west-1b|postgres|db.m6g.xlarge|csiappprd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2023-02-09 12:41:03|128010802554|Technology Architecture and Digital|W1-42882.1.01|053283|Amazon RDS PostgreSQL|PRD|ACCH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
csiappqa01|CSIAPPQA01|eu-west-1c|postgres|db.m6g.xlarge|csiappqa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-12-02 08:04:24|128010802554|Clinical Suppliers Insights|W1-42882.1.01|053283|Amazon RDS PostgreSQL|PPRD|ACCH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
databricksprd01|databricksprd01|eu-west-1b|postgres|db.m6g.4xlarge|databricksprd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2020-03-18 21:48:47|128010802554|Technology Architecture and Digital|1-41460.2|045879|Amazon RDS PostgreSQL|PRD|REIDSH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
databricksprd02|n/a|eu-west-1a|aurora-mysql|db.r6g.16xlarge|databricksprd02.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2020-03-18 21:57:27|128010802554|Technology Architecture and Digital|1-41460.2|045879|Amazon RDS Aurora MySQL|PRD|REIDSH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
databricksprd02-eu-west-1b|n/a|eu-west-1b|aurora-mysql|db.r6g.16xlarge|databricksprd02-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2020-03-18 22:04:09|128010802554|Technology Architecture and Digital|1-41460.2|045879|Amazon RDS Aurora MySQL|PRD|REIDSH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
databricksprd02-q2-2024|n/a|eu-west-1c|aurora-mysql|db.r6g.16xlarge|databricksprd02-q2-2024.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2024-07-18 11:02:39|128010802554|Technology Architecture and Digital|1-41460.2|045879|Amazon RDS Aurora MySQL|PRD|REIDSH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
databricksprd02-test|n/a|eu-west-1a|aurora-mysql|db.r6g.2xlarge|databricksprd02-test.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-04-22 20:39:52|128010802554|Technology Architecture and Digital|1-41460.2|045879|Amazon RDS Aurora MySQL|PRD|REIDSH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
databricksprd02-test-eu-west-1b|n/a|eu-west-1b|aurora-mysql|db.r6g.2xlarge|databricksprd02-test-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-04-23 08:50:38|128010802554|Technology Architecture and Digital|1-41460.2|045879|Amazon RDS Aurora MySQL|PRD|REIDSH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
databricksqa01|databricksqa01|eu-west-1a|postgres|db.m6g.4xlarge|databricksqa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2020-02-15 11:35:39|128010802554|Technology Architecture and Digital|1-41460.2|045879|Amazon RDS PostgreSQL|PPRD|REIDSH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
databricksqa02|databricksqa02|eu-west-1b|aurora-mysql|db.r6g.4xlarge|databricksqa02.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2020-02-15 11:47:56|128010802554|Technology Architecture and Digital|1-41460.2|045879|Amazon RDS Aurora MySQL|PPRD|REIDSH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ddhubprod|n/a|eu-west-1b|sqlserver-se|db.m5.xlarge|ddhubprod.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2024-04-04 19:23:19|128010802554|TIS|1-43999.1.01|030193|NA|PRD|BORADE2|null|EBS-NVS-D-35_GMT|null|null|null|IES-ALL|null
ddhubqa|n/a|eu-west-1b|sqlserver-se|db.t3.xlarge|ddhubqa.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2024-03-26 14:57:40|128010802554|TIS|1-43999.1.01|030193|NA|TST|BORADE2|null|EBS-NVS-D-35_GMT|null|null|null|IES-ALL|null
desiref1prd01-instance-1|desiref1prd01|eu-west-1a|aurora-mysql|db.r6g.2xlarge|desiref1prd01-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-7d2e8a0b,subnet-6c73c308,subnet-018257c47b9cd4b6c|2021-03-25 10:24:25|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS Aurora MySQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|null|null|NOT_REQUESTED
